"","address","availability","groups","languages","billing","zipcode"
"2980","Dr. phil. Sarah Opialla Stauffacherstrasse 16 8004 Zürich Switzerland","At least four weeks","Older adults Adults Young adults","German","Covered by basic insurance",8004
"2981","Clinique des Rues Basses Rond Point de Plainpalais 7 1205 Genève Switzerland","At least four weeks","Young adults Adults Older adults Senior management","French English Portuguese","Covered by basic insurance",1205
"2982","Centre Ivy- Psychothérapies Rue du Nant 8 1207 Genève Switzerland","Less than two weeks","Older adults Adults Young adults Couples Families Teenagers Children","French English Spanish","Covered by basic insurance",1207
"2983","Cognicreate Badenerstrasse 8003 Zurich Switzerland","Less than two weeks","Senior management Teams Adults Teenagers Young adults","German Swiss German French English Spanish","Partially covered by supplementary insurance To be paid by yourself",8003
"2984","Psychiatrisch- Psychotherapeutische Praxengemeinschaft Kaiserstrasse 8 4310 Rheinfelden Switzerland","No date currently available","Adults Young adults Teenagers Children","German Swiss German","Covered by basic insurance",4310
"2985","Cabinet Osthéna Rue St-Denis 35 1630 Bulle Switzerland","Two to four weeks","Adults Young adults Teenagers","French","Partially covered by supplementary insurance To be paid by yourself",1630
"2986","LaConsultation - Palézieux Grand Clos 2 1607 Palézieux Switzerland","No date currently available","Adults Families","German French English","Covered by basic insurance",1607
"2987","Mauricio Leal rue de l’hôpital 1 1347 Le sentier Switzerland","Two to four weeks","Adults Young adults Couples Teenagers Children Teams Groups","French English Spanish","Covered by basic insurance To be paid by yourself",1347
"2988","Praxis Psy-Lyss Marktplatz 14 3250 Lyss Switzerland","Two to four weeks","Young adults Adults","German Swiss German English","Covered by basic insurance To be paid by yourself",3250
"2989","Praxis am Buchenweg Buchenweg 18 8105 Regensdorf Switzerland","Two to four weeks","Older adults Couples Families Adults Young adults Senior management","German Czech","Covered by basic insurance",8105
"2990","Cussegliaziun psicologica Via Alpsu 35 7180 Disentis/Mustér Switzerland Cussegliaziun psicologica Via Alpsu 35 7180 Disentis/Mustér Switzerland Jenny Fry Via Alpsu 35 7180 Disentis/Mustér Switzerland","Two to four weeks","Teams Adults Young adults Senior management Older adults","German Swiss German French English","To be paid by yourself",7180
"2991","Jessica Rupf Praxis für Psychotherapie GmbH Landquartstrasse 3 9320 Arbon Switzerland","No date currently available","Older adults Adults Young adults Couples Families","German English","Covered by basic insurance To be paid by yourself",9320
"2992","Clinique des Rues Basses Rue de Candolle 6 1205 Genève Switzerland","Less than two weeks","Young adults Adults","French","Covered by basic insurance",1205
"2993","eleisa- Annique Kardass; Praxis für Psychotherapie und ganzheitliche Entwicklung Weystrasse 8 6006 Luzern Switzerland","At least four weeks","Couples Families Teenagers Adults Children Young adults Senior management Teams Groups","German English","Covered by basic insurance To be paid by yourself",6006
"2994","Praxis Z, Standort Römerhof Sonnhaldenstrasse 3 8032 Zürich Switzerland","At least four weeks","Adults Young adults","German Swiss German English","Covered by basic insurance To be paid by yourself",8032
"2995","Centre de psychiatrie et psychothérapie de la Clinique de Carouge Av. Cardinal-Mermillod 1 1227 Carouge Switzerland","Less than two weeks","Adults Young adults","French English","Covered by basic insurance",1227
"2996","Schaffhauserstrasse 15 8400 Winterthur Switzerland","No date currently available","Adults Couples","German English","Covered by basic insurance To be paid by yourself",8400
"2997","Freie Strasse 4051 Basel Switzerland","No date currently available","Adults","German Swiss German","Covered by basic insurance",4051
"2998","Rue du Perron 1196 Gland Switzerland","Two to four weeks","Adults Young adults Couples Families Teenagers Teams Groups Senior management","French English","Partially covered by supplementary insurance To be paid by yourself",1196
"2999","Praxis für Psychotherapie Lekic Hertizentrum 8 6300 Zug Switzerland","No date currently available","Adults","German Swiss German","Covered by basic insurance To be paid by yourself",6300
"3000","Psychotherapeutische Gruppenpraxis PGP Ringstrasse 30 4600 Olten Switzerland","Two to four weeks","Adults","German","Covered by basic insurance To be paid by yourself",4600
"3001","Laure Jost chemin du Corgeon 16 1095 Lutry Switzerland","Less than two weeks","Older adults Adults Young adults Couples Families Teenagers Teams Senior management","French","Partially covered by supplementary insurance",1095
"3002","Praxis Sternengasse Henric Petri-Str. 19 4051 Basel Switzerland","At least four weeks","Adults Young adults","German English","Covered by basic insurance",4051
"3003","Psychotherapie Saiwala Zentrumsplatz 4 5726 Unterkulm Switzerland","No date currently available","Adults","German","Covered by basic insurance",5726
"3004","Centro Essere via alla Resega 15 6814 Lamone Switzerland Studio di Psichiatria e di Psicoterapia ""Dr. Mattia"" Via G. Guisan 8 6900 Paradiso Switzerland","At least four weeks","Older adults Couples Families Teenagers Adults Young adults","Italian","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",6814
"3005","Psychotherapie am Graben Oberer Graben 28 8400 Winterthur Switzerland","No date currently available","Adults Young adults Older adults","German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8400
"3006","Praxis für Psychotherapie und Beratung Gärtnerstrasse 15 8400 Winterthur Switzerland","No date currently available","Adults Young adults","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance",8400
"3007","Praxis Seeau Seestrasse 2 8002 Zürich Switzerland stadtgartenpraxis Museumstrasse 76 8400 Winterthur Switzerland","Two to four weeks","Adults","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8002
"3008","Praxis Seeau Seestrasse 11 8002 Zürich Switzerland","No date currently available","Adults Young adults","German Swiss German Spanish","Covered by basic insurance To be paid by yourself",8002
"3009","VIVIDA Praxisgemeinschaft Dufourstrasse 24 8008 Zürich Switzerland","No date currently available","Couples Families Adults Young adults","German Swiss German","Covered by basic insurance",8008
"3010","P4 Praxis für Psychotherapie Bergstrasse 122 8032 Zürich Switzerland","Two to four weeks","Adults Young adults Couples Children","German Italian English","Covered by basic insurance To be paid by yourself",8032
"3011","zwüsche ruum Museumstr.76 8400 Winterthur Switzerland","No date currently available","Adults Couples Groups","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8400
"3012","Psychotherapie Christina Ruppert Tolhusen 11 8352 Elsau Switzerland","No date currently available","Young adults Families Teenagers Children","German","Covered by basic insurance",8352
"3013","Praxis Nord Nordstrasse 20 8006 Zürich Switzerland","At least four weeks","Adults Young adults Teenagers","German Swiss German English","Covered by basic insurance To be paid by yourself",8006
"3014","C.G. Jung Ambulatorium Arosastrasse 4 8008 Zürich Switzerland We Practice Olgastrasse 10 8001 Zürich Switzerland","At least four weeks","Adults Teenagers Couples Young adults Older adults","English Portuguese","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8008
"3015","Option Conseil Avenue Louis-Ruchonnet 2 1003 Lausanne Switzerland","Less than two weeks","Older adults Adults Young adults Teams Senior management","French","Partially covered by supplementary insurance",1003
"3016","Psychotherapie Russi Melanie Neuengasse 39 3011 Bern Switzerland","Two to four weeks","Older adults Adults Young adults","German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",3011
"3017","Praxis für Psychotherapie Merve Reiske Dierauerstrasse 1 9000 St. Gallen Switzerland","At least four weeks","Older adults Adults Young adults","German Turkish","Covered by basic insurance",9000
"3018","Kantonsspital Postfach St. Gallen Switzerland","No date currently available","Older adults Adults Young adults",NA,"Covered by basic insurance",NA
"3019","db - Diana Balaias Boulevard James-Fazy 13 1201 Genève Switzerland","Less than two weeks","Adults Young adults Couples","English Portuguese","Partially covered by supplementary insurance To be paid by yourself",1201
"3020","Hirschengraben 28 8001 Zürich Switzerland","Two to four weeks","Older adults Couples Teenagers Adults Groups Young adults Senior management","German English","Partially covered by supplementary insurance To be paid by yourself",8001
"3021","Psychologische Praxis Bertschinger Spitalackerstrasse 53 3013 Bern Switzerland","No date currently available","Adults Young adults Older adults","German English","Covered by basic insurance To be paid by yourself",3013
"3022","Av. de la Gare 10 1003 Lausanne Switzerland","Two to four weeks","Adults Couples Families Senior management","French","Partially covered by supplementary insurance",1003
"3023","Schläflistrasse 17 3013 Bern Switzerland","No date currently available","Older adults Adults Young adults","German Swiss German French English","To be paid by yourself",3013
"3024","Praxis Alte Spinnerei Alte Spinnerei 9 5210 Windisch Switzerland","At least four weeks","Adults Couples Older adults","German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",5210
"3025","Praxis für Psychotherapie und psychologische Beratung Wartstrasse 14 8400 Winterthur Switzerland","No date currently available","Adults Young adults Couples Older adults","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8400
"3026","Feminei Chäsigass 5 6331 Hünenberg Switzerland","Two to four weeks","Adults","English Spanish","Partially covered by supplementary insurance",6331
"3027","Praxis Evia Rudolfstrasse 3 4054 Basel Switzerland","No date currently available","Adults Young adults","German Swiss German English Turkish","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",4054
"3028","Villettemattstrasse 15 3007 Bern Switzerland","No date currently available","Older adults Adults Young adults Couples Families Teenagers","German English","Covered by basic insurance",3007
"3029","Carrefour de Rive 1 1207 Genève Switzerland Boulevard des Philosophes 14 1205 Genève Switzerland","Less than two weeks","Adults Young adults Teams Groups Senior management","French English","Partially covered by supplementary insurance",1207
"3030","Praxis für Psychotherapie Tössfelstrasse 23 8400 Winterthur Switzerland Psychotherapeutische Gruppenpraxis PGP Niederlenzer Kirchweg 3 5600 Lenzburg Switzerland","At least four weeks","Adults Young adults","German Swiss German","Covered by basic insurance",8400
"3031","Zurzach CARE Weinbergstrasse 29 8006 Zürich Switzerland Psychotherapeutisches und Neuropsychologisches Zentrum PSYNEZ Forchstrasse 70 8008 Zürich Switzerland","Two to four weeks","Adults Senior management Young adults Families","German Spanish","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8006
"3032","Andrea Wegmüller, Praxis Mäderhof Badstrasse 15 5400 Baden Switzerland","At least four weeks","Adults","German Swiss German English Spanish","Covered by basic insurance To be paid by yourself",5400
"3033","Praxis für Psychotherapie Freie Strasse 20 4001 Basel Switzerland","No date currently available","Young adults Families Teenagers Children","German","Covered by basic insurance",4001
"3034","Cabinet Paroles précieuses Chêneau de Bourg 10 1003 Lausanne Switzerland","Less than two weeks","Couples Families Adults Children Young adults Teenagers Older adults","French Arabic English","Covered by basic insurance",1003
"3035","Studio di Psicoterapia Via Landriani 7 6900 Lugano Switzerland","Less than two weeks","Teenagers Adults Older adults Couples Young adults","German Swiss German French Italian English Spanish","Covered by basic insurance",6900
"3036","Johanna Müller Psychotherapie Bederstrasse 51 8002 Zürich Switzerland","At least four weeks","Adults Young adults Teenagers","German Swiss German","Covered by basic insurance",8002
"3037","Obere Zäune 14 8001 Zürich Switzerland","No date currently available","Older adults Adults Young adults","German Swiss German English","Covered by basic insurance",8001
"3038","Therapie und Beratung Regula Naef Joweid-Zentrum 1 8630 Rüti Switzerland Therapie und Beratung Regula Naef Bahnhofplatz 1 8001 Zürich Switzerland","Two to four weeks","Older adults Adults Children Young adults Senior management","German Swiss German","Covered by basic insurance To be paid by yourself",8630
"3039","Hornbachstrasse 68 8008 Zürich Switzerland","Less than two weeks","Older adults Adults Young adults Couples Families Teenagers Teams Senior management","German Swiss German Bulgarian English","To be paid by yourself",8008
"3040","Steinberggasse 54 8400 Winterthur Switzerland","At least four weeks","Young adults Adults","German Serbian","Covered by basic insurance To be paid by yourself",8400
"3041","Servizio di Psichiatria e Psicologia Medica OSC Via Tesserete 67 6942 Savosa Switzerland","At least four weeks","Older adults Adults Couples Groups","Italian English Spanish","Covered by basic insurance",6942
"3042","Praxis Mainau 12 Mainaustrasse 12 8008 Zürich Switzerland","At least four weeks","Older adults Adults Couples Young adults Teenagers","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8008
"3043","Online-Praxis über Aepsy Sonnenhofweg 15 8630 Rüti Switzerland Calle La Entrada 20A 35559 San Bartolomé Spain","Less than two weeks","Adults Young adults Senior management","German Swiss German English","To be paid by yourself",8630
"3044","Psychotherapie Rahel Riedweg Moserstrasse 10 3014 Bern Switzerland","No date currently available","Older adults Adults Young adults Senior management Teenagers","German English","Covered by basic insurance",3014
"3045","Via Landriani 7 6900 Lugano Switzerland","Less than two weeks","Adults Young adults Teenagers",NA,"Covered by basic insurance",6900
"3046","Praxis für Psychotherapie Renggli & Graf Mythenstrasse 6 6003 Luzern Switzerland","No date currently available","Couples Adults Young adults","German Swiss German","Covered by basic insurance",6003
"3047","Psychotherapie Rosaria Tirinato Centralstrasse 14a 6210 Sursee Switzerland","No date currently available","Adults Young adults Couples Families","German Swiss German French Italian English Spanish","Partially covered by supplementary insurance Covered by basic insurance",6210
"3048","Praxisgemeinschaft Psychotherapie & Forensik Zeughausgasse 20 3011 Bern Switzerland","At least four weeks","Adults Young adults","German English","Partially covered by supplementary insurance Covered by basic insurance",3011
"3049","Via Bossi 17a 68320 Chiasso Switzerland","Less than two weeks","Couples Adults Groups Children Young adults Senior management Older adults Families Teenagers Teams","Italian","Covered by basic insurance",6832
"3050","Cabinet Regard Intérieur Rue Centrale 89 1964 Conthey Switzerland","Less than two weeks","Older adults Adults Young adults Families Teenagers Children Groups","French","Partially covered by supplementary insurance To be paid by yourself",1964
"3051","Avenue du Grand-St-Bernard 16 1920 Martigny Switzerland Rue du pré-Jêrome 22 1205 Genève Switzerland","At least four weeks","Adults","French","Covered by basic insurance",1920
"3052","da-Lang Psychotherapie Rothstrasse 54 8057 Zürich Switzerland","Less than two weeks","Young adults Teenagers Children","German Swiss German English","Covered by basic insurance",8057
"3053","Praxis Dr. Leiva Münzgraben 6 3011 Bern Switzerland","No date currently available","Older adults Adults Young adults","German Swiss German English","Covered by basic insurance",3011
"3054","Boulevard de Pérolles 30 1700 Fribourg Switzerland","At least four weeks","Older adults Adults Young adults Teenagers","French","Covered by basic insurance",1700
"3055","Stefan Cyrill Hartmann (bei Praxis Damas klingeln) Alpenstrasse 7 6004 Luzern Switzerland","At least four weeks","Adults Young adults Senior management","German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",6004
"3056","Little Sprouts 109/1 Soi Thonglor 5 10110 Bangkok Thailand","Less than two weeks","Children Teenagers","French English","To be paid by yourself",1011
"3057","Praxis für Psychotherapie und Güterstrasse 313 4053 Basel Switzerland","At least four weeks","Older adults Adults Young adults Couples Senior management","German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",4053
"3058","Bernstrasse 21e 3076 Worb Switzerland Universitäre Psychiatrische Dienste Bern (UPD) Bolligenstrasse 111 3000 Bern 60 Bern Switzerland","No date currently available","Adults Young adults","German English Polish","Covered by basic insurance",3076
"3059","Medizinisches Zentrum Löwenstrasse Löwenstrasse 14 8001 Zürich Switzerland","Two to four weeks","Adults Young adults Teenagers Children","German Swiss German English","Covered by basic insurance",8001
"3060","Psychotherapie Armon Simonett Münzgraben 6 3011 Bern Switzerland","No date currently available","Adults","German","Covered by basic insurance",3011
"3061","Psychotherapie Barbara Schwab c/o Praxis Dr. med. Michael Reber Kalchackerstrasse 106 3047 Bremgarten b. Bern Switzerland","No date currently available","Older adults Adults Young adults","German","Covered by basic insurance",3047
"3062","Centre Psycho Pédagogique S'Épanouir 28 Boulevard du Pont D'Arve 1205 Genève Switzerland Centre Thérapeutique Aliotis 30 Boulevard Helvétique 1207 Genève Switzerland","Two to four weeks","Adults Teenagers Children","French Portuguese","Partially covered by supplementary insurance To be paid by yourself",1205
"3063","Thérapies 6 6 bvd des Tranchées 1205 Genève Switzerland","At least four weeks","Adults Young adults Teenagers Children","French English Spanish","Covered by basic insurance",1205
"3064","Praxisgemeinschaft Schaffhauserstrasse 15 8400 Winterthur Switzerland","At least four weeks","Older adults Adults Young adults","German Swiss German Italian Spanish","Covered by basic insurance To be paid by yourself",8400
"3065","Psychotherapie Fontana Zürcherstrasse 39 E 8957 Schlieren Switzerland","No date currently available","Older adults Adults Young adults Teenagers","German Swiss German English","Covered by basic insurance To be paid by yourself",8957
"3066","Museumstrasse 76 8400 Winterthur Switzerland","No date currently available","Adults Young adults","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8400
"3067","Zentrum für Therapie und Prävention Zürich Weinbergstrasse 137 2. Stock 8057 Zürich Switzerland","At least four weeks","Adults","German Swiss German English Spanish","Covered by basic insurance To be paid by yourself",8057
"3068","Praxis Parterre Ackeretstr. 13 8400 Winterthur Switzerland","No date currently available","Adults","German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8400
"3069","Mutschmiede - Organisation für Psychotherapie und persönliche Weiterentwicklung Asylstrasse 39 8032 Zürich Switzerland","Two to four weeks","Young adults Adults Older adults Groups Couples","German English","Covered by basic insurance To be paid by yourself",8032
"3070","Psychotherapiepraxis Blank Häringstrasse 20 8001 Zürich Switzerland Hegarstrasse 22 8032 Zürich Switzerland","No date currently available","Older adults Adults Young adults","German","Covered by basic insurance To be paid by yourself",8001
"3071","Cabinet indépendant de psychothérapie au sein de Matrix Psychiatrie et Psychothérapie Route du Jura 12A 1700 Fribourg Switzerland","Less than two weeks","Adults Young adults Couples Families Teenagers","French Spanish","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",1700
"3072","Avenue de Champel 6 1206 Genève Switzerland","Two to four weeks","Adults Young adults Senior management","French English Russian","Covered by basic insurance",1206
"3073","Praxis für Psychotherapie Steffi Tank St. Gallerstrasse 1 8500 Frauenfeld Switzerland","No date currently available","Older adults Adults Young adults Families Teenagers Children Senior management","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8500
"3074","Psychotherapie Suter Seestr. 9 6330 Cham Switzerland","At least four weeks","Older adults Adults Young adults","German English","Covered by basic insurance",6330
"3075","Praxis Psy-Lyss Marktplatz 14 3250 Lyss Switzerland","At least four weeks","Adults Young adults","German English","Covered by basic insurance To be paid by yourself",3250
"3076","Psychotherapie Marktplatz Muri Thunstrasse 68 3074 Muri bei Bern Switzerland","No date currently available","Young adults Teenagers Children","German English Spanish","Covered by basic insurance",3074
"3077","Klipp & Klar Psychotherapie GmbH Hauptstrasse 153 4565 Recherswil Switzerland","No date currently available","Adults Young adults Couples Older adults","German","Covered by basic insurance",4565
"3078","Praxis Andrea Hugentobler Theaterplatz 4 5400 Baden Switzerland","No date currently available","Adults","German English","Covered by basic insurance",5400
"3079","Praxis für Psychotherapie und psychologische Beratung Julia Fricker St. Johanns-Vorstadt 58 4056 Basel Switzerland","No date currently available","Adults Young adults","German Swiss German","Covered by basic insurance To be paid by yourself",4056
"3080","BrainARC Chur Poststrasse 22 7000 Chur Switzerland","At least four weeks","Couples Adults Young adults Families","German Croatian","Covered by basic insurance",7000
"3081","Psychotherapie 3 Lacs GmbH Beaulieu 11 3280 Morat Switzerland","At least four weeks","Young adults Adults Older adults","French","Covered by basic insurance To be paid by yourself",3280
"3082","Arzthaus St. Gallen Zeughausgasse 22 9000 St. Gallen Switzerland","At least four weeks","Adults Older adults","German Swiss German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",9000
"3083","Kramgasse 58 3011 Bern Switzerland","No date currently available","Adults Young adults","German Swiss German Bosnian Croatian English Serbian","Covered by basic insurance",3011
"3084","Praxis für Psychotherapie Bittencourt Sonnengutstrasse 2 5620 Bremgarten Switzerland","At least four weeks","Older adults Adults","German Swiss German","Covered by basic insurance To be paid by yourself",5620
"3085","Praxis Steinenring Steinenring 49 4051 Basel Switzerland","No date currently available","Adults Young adults","German Swiss German","Covered by basic insurance To be paid by yourself",4051
"3086","Praxisgemeinschaft Kronenmatt Hauptstrasse 62 4102 Binningen Switzerland","At least four weeks","Adults Young adults","German","Covered by basic insurance",4102
"3087","therapie.raum steinenring Steinenring 53 4051 Basel Switzerland","No date currently available","Adults Older adults Couples","German","Covered by basic insurance",4051
"3088","CCPP Rue de la Monneresse 1 1860 Aigle Switzerland","Two to four weeks","Older adults Adults Young adults Teenagers","French English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",1860
"3089","Piazza Molino Nuovo 17 6900 Lugano Switzerland","Two to four weeks","Older adults Adults Young adults","Italian English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",6900
"3090","Psychotherapie F.Grumbacher Merkurstrasse 3a 6210 Sursee Switzerland","No date currently available","Adults Young adults","German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",6210
"3091","Cabinet Psy-coaching Chemin Agénor-Parmelin 1 1216 Cointrin Switzerland","Less than two weeks","Adults Young adults","French Spanish","Partially covered by supplementary insurance To be paid by yourself",1216
"3092","Psychologische Praxis Spinnereistrasse 5 5300 Turgi Switzerland","No date currently available","Families Teenagers Children Groups","German Swiss German","Covered by basic insurance",5300
"3093","Les Toises Avenue des Mousquines 4 1005 Lausanne Switzerland","At least four weeks","Adults Young adults","French","Covered by basic insurance",1005
"3094","JETZT Praxisgemeinschaft für Psychotherapie Rufacherstrasse 34 4055 Basel Switzerland","No date currently available","Young adults Children Adults Families","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",4055
"3095","Consultation Proches Aidants (CHUV) En Chamard 55a 1442 Montagny-Chamard Switzerland","No date currently available","Older adults Adults Couples Families","French Italian","To be paid by yourself",1442
"3096","Hirschengraben 28 8001 Zürich Switzerland","Less than two weeks","Adults Young adults Teenagers Teams Groups Senior management","German Swiss German English","Partially covered by supplementary insurance To be paid by yourself",8001
"3097","Les Psy Reunis - Eaux-vives - Muzy 10 rue Muzy 1207 Genève Switzerland","Two to four weeks","Older adults Adults Young adults","French Italian","Covered by basic insurance To be paid by yourself",1207
"3098","Studio Psicoterapia Castelnuovo Via San Gottardo 30 6943 Vezia Switzerland Psicoterapeuta Castelnuovo Via Stefano Franscini 12 6600 Locarno Switzerland","Less than two weeks","Older adults Adults Young adults Couples Families Teenagers Teams Groups","French Italian English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",6943
"3099","GB Gesundheitspsychologische Beratung Beatrice Gschwend Marktgasse 28 8400 Winterthur Switzerland","Less than two weeks","Older adults Adults Young adults Couples","German Swiss German","Partially covered by supplementary insurance",8400
"3100","Praxis Z Sonnhaldenstrasse 3 8032 Zürich Switzerland","At least four weeks","Adults Young adults","German Swiss German English Russian Ukrainian","To be paid by yourself",8032
"3101","Centre de Consultations Enfants Adolescents Familles Rue du Vieux-Marché 4 1207 Genève Switzerland","No date currently available","Families Teenagers Children Young adults","French Portuguese","Covered by basic insurance",1207
"3102","Praxis für Psychotherapie Marion Kornmayer Bahnhofstrasse 39 8280 Kreuzlingen Switzerland","No date currently available","Adults","German","Covered by basic insurance",8280
"3103","via della Pace 3 6600 Locarno Switzerland","Less than two weeks","Couples Families Adults Young adults","Italian","Covered by basic insurance",6600
"3104","Ethel Engo Psychology Rue du Vieux-Collège 4 1204 Genève Switzerland","Less than two weeks","Adults Young adults Teenagers","Italian English Spanish","Partially covered by supplementary insurance To be paid by yourself",1204
"3105","Psychotherapeutische Praxis Zgraggen Poststrasse 10 6300 Zug Switzerland","At least four weeks","Adults Young adults Teenagers","German","Covered by basic insurance To be paid by yourself",6300
"3106","Praxis Seeau - Psychotherapie Zürich Enge Seestrasse 11 8002 Zürich Switzerland","Two to four weeks","Adults Young adults Couples Teenagers","German","Covered by basic insurance",8002
"3107","Praxis am Albis alte Obfelderstrasse 57 8910 Affoltern am Albis Switzerland","At least four weeks","Adults","German","Covered by basic insurance",8910
"3108","Maertplatz Oerlikon Edisonstrasse 24 8050 Zürich Switzerland","No date currently available","Children","German","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8050
"3109","Praxis für Psychotherapie Bohny Steinenring 49 4051 Basel Switzerland","At least four weeks","Older adults Adults Young adults","German English","Covered by basic insurance",4051
"3110","Psychologische Praxis Umbralux Zollikerstrasse 44 8008 Zürich Switzerland","Less than two weeks","Older adults Adults Young adults Senior management","German Swiss German","To be paid by yourself",8008
"3111","Lara Maria c/o AEQUILIBRIA VIA CANTONALE, 27 6928 MANNO Switzerland","Less than two weeks","Adults Young adults Couples Families Teenagers Children Senior management","Italian","Partially covered by supplementary insurance",6928
"3112","Centre Psychothérapeutique Les Mouettes Chemin des Mouettes 4 1007 Lausanne Switzerland","Two to four weeks","Teenagers Children Families","French","Covered by basic insurance",1007
"3113","Studio Nautilus via Clemente Maraini 13b 6900 Lugano Switzerland","Less than two weeks","Adults Young adults Teenagers Groups","Italian","Covered by basic insurance To be paid by yourself",6900
"3114","Rue des Jordils 63 1400 Yverdon-les-Bains Switzerland","No date currently available","Adults Young adults Older adults","French","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",1400
"3115","Réseau Fribourgeois de Santé Mentale Rue de la Condémine 60 1630 Bulle Switzerland","At least four weeks","Adults Young adults Teams Groups","French","Covered by basic insurance",1630
"3116","Avenue de France 90 1004 Lausanne Switzerland","At least four weeks","Older adults Adults Young adults Teams Senior management","French Spanish","Covered by basic insurance",1004
"3117","29 rue de la coulouvrenière 1204 Genève Switzerland","At least four weeks","Children Teenagers Young adults","French","Covered by basic insurance",1204
"3118","*Villa Hardstrasse* Praxis für Psychotherapie Hardstrasse 1 4052 Basel Switzerland","At least four weeks","Families Teenagers Children Young adults","German Swiss German","Covered by basic insurance",4052
"3119","Cabinet des Berges Passage des Ateliers 7 1800 Vevey Switzerland","At least four weeks","Older adults Adults Young adults","German Swiss German French English","Covered by basic insurance",1800
"3120","Studio di Psicoterapia Ohana Via della posta 2 6600 Locarno Switzerland","Two to four weeks","Teenagers Adults Children Young adults","German French Italian English","Covered by basic insurance",6600
"3121","Praxis für Psychotherapie und Psychoanalyse Universitätstrasse 67 8006 Zürich Switzerland","No date currently available","Adults Young adults","German","Covered by basic insurance To be paid by yourself",8006
"3122","Centre de sexologie et couple de la Côte ch de la Musardière 13 1131 Tolochenaz Switzerland","Two to four weeks","Couples Families Adults Young adults","French English","Covered by basic insurance",1131
"3123","BrainArc Turnerstrasse 26 8006 Zürich Switzerland","At least four weeks","Adults","German Swiss German Portuguese Spanish","Covered by basic insurance",8006
"3124","Praxis für Psychotherapie & Psychoanalyse Eidmattstrasse 51 8032 Zürich Switzerland","No date currently available","Adults Young adults Couples Senior management","German Swiss German English","Partially covered by supplementary insurance Covered by basic insurance To be paid by yourself",8032
"3125","Stolzestrasse 3 8006 Zürich Switzerland","At least four weeks","Older adults Adults Young adults Senior management","German","Covered by basic insurance",8006
"3126","Praxis Frohbergstieg Frohbergstieg 23 8200 Schaffhausen Switzerland","At least four weeks","Adults Young adults Couples","German Swiss German English","Covered by basic insurance",8200
"3127","PPReg GmbH - Psychologische Psychotherapie Regensdorf Adlikerstrasse 236 Praxisgemeinschaften 8105 Regensdorf Switzerland","No date currently available","Adults","German Swiss German","Covered by basic insurance",8105
"3128","ZAP Zentrum für ambulante Psychotherapie GmbH, Standort Steffisburg Im MediZentrum Burgergut, Steffisburg Bernstrasse 107 3613 Steffisburg Switzerland","No date currently available","Older adults Adults Young adults Teenagers Senior management","German Swiss German French English","Covered by basic insurance",3613
"3129","Rue du Simplon 6 1006 Lausanne Switzerland Rue Philippe-Plantamour 34 1201 Genève Switzerland","Less than two weeks","Adults Young adults Older adults","French English","Partially covered by supplementary insurance",1006
"3130","Psychotherapie Schwarzenbach Hertizentrum 8 6300 Zug Switzerland","Two to four weeks","Young adults Adults Older adults","German Swiss German","Covered by basic insurance To be paid by yourself",6300
"3131","Praxis am Albis Alte Obfelderstrasse 57 8910 Affoltern am Albis Switzerland","At least four weeks","Older adults Adults Young adults","German Swiss German Italian","Covered by basic insurance",8910
"3132","Psychotherapie am Zürichberg Asylstrasse 106 8032 Zürich Switzerland","Two to four weeks","Adults Young adults Older adults","German Swiss German English","Covered by basic insurance To be paid by yourself",8032
"3133","Psychiatrie St. Gallen Zürcherstrasse 1 8730 Uznach Switzerland","At least four weeks","Adults","German English","Covered by basic insurance",8730
